artist,title,mood,original_mood,lyrics
The Album Leaf,There Is A Wind,2,relaxed,"Running so far ahead, just to get back to the end
There is something in our way
There is something I can't say
There's a wind behind everyone
It takes us through our lives
I wish I could have stayed
But this wind takes me away, away, away
...

******* This Lyrics is NOT for Commercial use *******"
The Bird And The Bee,I'm a Broken Heart,3,sad,"Cry, as much I want to
Weep, I know I can't have you
I wipe my tears away, away
I try, I try, I try, I try

Wish, wish for the summer
Want, to pull over under
I wipe my tears away, away

I try, I try, I try, I try
I try, I try, I try, I try
I try to make the best of happiness

I'm a broken heart
I'm a broken heart
I'm a broken heart
My love is bleeding
I'm a broken heart
I'm a broken heart
I'm a broken heart
An empty feeling

...

******* This Lyrics is NOT for Commercial use *******"
Hellsongs,Run to the Hills,2,relaxed,"White man came across the sea
He brought us pain and misery
He killed our tribes, he killed our creed
He took our game for his own need
We fought him hard, we fought him well
Out on the plains, we gave him hell
But many came, too much for Cree
Oh, will we ever be set free?

Riding through dust clouds and barren wastes
Galloping hard on the plains
Chasing the redskins back to their holes
Fighting them at their own game
Murder for freedom, a stab in the back
...

******* This Lyrics is NOT for Commercial use *******"
Grand National,Peanut Dreams,2,relaxed,"Give me something
Give me silence
Give me jokes, live it out with my peanut dreams

Give me daylight
Give me sundays
Give me strokes with the folks and their peanut dreams

Give me something
Give me silence
...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Live Undead,0,angry,"Cascaded darkness, walls close in on me
Nailed shut but my eyes still see
Severe anguish as my body evolves
The pain of life after death it resolves

Emptiness in twilight's rebirth
The faint sounds of shoveled earth
Madness growing as your mind dissolves
Merely secret in my dreams

Night grows cold, twilight's near
On the edge of madness the wounds are sheared
Forms of hanging, flesh shredded carcass, no spared breath
Imprisoned in a shell, ready to explode
...

******* This Lyrics is NOT for Commercial use *******"
Eliane Elias,Chega De Saudade,2,relaxed,"Vai, minha tristeza
E diz a ela que sem ela não pode ser
Diz-lhe numa prece que ela regresse
Porque eu não posso mais sofrer

Chega de saudade
A realidade é que sem ela não há paz
Não há beleza, é só tristeza e a melancolia
Que não sai de mim, não sai de mim, não sai

Mas se ela voltar, se ela voltar
Que coisa linda, que coisa louca
Pois há menos peixinhos a nadar no mar
...

******* This Lyrics is NOT for Commercial use *******"
Demon Hunter,My Heartstrings Come Undone,3,sad,"It's buried deep within the past, and I hope it doesn't last
(It's something I already chase, I already chase)
I try to give it all away, but it's never gonna fade
(It's something I don't wanna face, I don't wanna face)
I know you feel it's all the same, but I promise that I'll change
(It's something I already chase, I already chase)
You know I'm trying to believe that you're never gonna leave
(It's something I don't wanna face, I don't wanna face)
There's nothing left! The fear is gone...

And when my heartstrings come undone
I will wait for you, pray for you
...

******* This Lyrics is NOT for Commercial use *******"
Eluveitie,Elembivos,3,sad,"The light, the life, the strength, the harvest, gratefulness
In four moons the antlered one will go to rest

The light, the life, the strength, the harvest, gratefulness
In four moons the antlered one will go to rest

The light, the life, the strength, the harvest, gratefulness
In four moons the antlered one will go to rest

The light, the life, the strength, the harvest, gratefulness
In four moons the antlered one will go to rest

The light, the life, the strength, the harvest, gratefulness
In four moons the antlered one will go to rest

...

******* This Lyrics is NOT for Commercial use *******"
Queen,Flash,1,happy,"Flash
Ah-ah
Saviour of the universe

Flash
Ah-ah
He'll save every one of us

(Seemingly there is no reason for these extraordinary intergalactical upsets)
(What's happening Flash?) (Only Dr. Hans Zarkov)
(Formerly at NASA, has provided any explanation)

Flash
Ah-ah
He's a miracle
(This mornings unprecedented solar eclipse is no cause for alarm)
...

******* This Lyrics is NOT for Commercial use *******"
We Are The Fallen,Tear The World Down,3,sad,"I've fought another day
Lose another chance to break away
From all I cannot bear
I suffer through the shame
Wishing hope would just abandon me
Till this is over

My loveless life
I'm lost in you tonight
Waiting for you to turn around
Only to tear the whole world down

Time and time again
Take it all and take the fall for you
...

******* This Lyrics is NOT for Commercial use *******"
Sentenced,Nepenthe,3,sad,"Think about all the good in your life
It's only temporary
Think about all the positive sides in life
They never last forever

So drink to forget
And drown all your sorrow
Bury your dreams
Choose mind refinery

All the tears and the fears and the lies and the cries and the
(Nepenthe)
All the tears and the fears and the lies and the cries of the past
...

******* This Lyrics is NOT for Commercial use *******"
LeAnn Rimes,Big Deal,0,angry,"Well he used to be mine
Not so very long ago
I was crazy to ever let him get away
But girl you should know better
Then to go braggin' in my face
So forgive me, for what I'm 'bout to say

Big deal, so what, who cares
You just got lucky
That's all, it was, shut up
Don't want to hear another word about
Candlelight and long-stem roses
And how you're fallin' head-over-heels
In love, so what, big deal

He's perfect, I heard ya
The first ten times that you told me
Yeah... it's amazing, his lovin'
...

******* This Lyrics is NOT for Commercial use *******"
Kings of Leon,McFearless,0,angry,"Strain living with a name they get the best of me
But I don't walk away
I don't complaint, I got much to gain, so they keep testing me
And I keep feeding their face
But they could go off and hit the road and what would I care
Hell, I ain't going nowhere
I got the reigns and courage I was made of
And they've got fake love

So I know I must show it's my show
I must go with my soul
Not my hand where I stand
...

******* This Lyrics is NOT for Commercial use *******"
Mando Diao,You Can't Steal My Love,1,happy,"I was walking down the street with my chains tied up to my feet
I leaned instead of jiggie with the sidewalk
Now this street tells the same old boring tale that has failed in so many ways of life
To trust its stories you've got to be dull as them

And all the love I've got in here
You've just killed you peasants didn't even care
The love I had in store you raped for more
And all the dreams I had in here you've just stolen
You peasants didn't even care
But the dreams I had for her you cannot touch, my golden hand
...

******* This Lyrics is NOT for Commercial use *******"
Sondre Lerche,To Be Surprised,1,happy,"I'm not gonna say
Do you ever stop to think along the way?
But, baby, be prepared to be surprised
Better be prepared to be surprised
Baby, be prepared to be surprised
It's all I know

I'm not gonna state
Obvious observations everybody makes
But baby, be prepared to be surprised
Better be prepared to be surprised
Baby, be prepared to be surprised
It's all I know

The weight of the world
And the hurt and the dirt
Can make you disturbed
...

******* This Lyrics is NOT for Commercial use *******"
The Most Serene Republic,Proposition 61,2,relaxed,"What we need is a good jump kick, jump kick
To the head to get our ambitions in gear
For example, Jude at the party was taking her clothes off
Below the constellations

Outside the people, they pranced becoming lord of the dance
Another typical social plights
We greeted them with conversation and delight
Since Jude was mad at her dream for landing nowhere near the marker

To a boat on a island where nobody? s been
Except your best memories and your favorite friends
...

******* This Lyrics is NOT for Commercial use *******"
Atari Teenage Riot,Too Dead for Me,0,angry,"Come on! go!
Too dead for me... too dead for - too dead for me!
What do you say? (x2)
Too dead for me!
What do you say?
Too dead for - too dead for -
Too dead - what do you sell your soul for?
Too dead for - too dead for - 1, 2, 3, 4!
Too dead for me! too dead for -
It's just too dead for me!
Too dead for - too dead for -
What do you sell your damn soul for?
It's just too dead for me...
We won't keep quiet! we won't keep quiet!
We won't keep quiet! we won't keep quiet!
Never!
Fast like a blizzard - cold like stone
Luxury depression crushed your bones
This kinda think is too sad for me... go! go! go! go!
You cry later - dope calculator
...

******* This Lyrics is NOT for Commercial use *******"
The Arrogant Worms,Johnny Came Home Headless,1,happy,"Johnny was a tall man, but his memory was short.
He'd forget to duck at doorways, and often he'd get hurt.
I took good care of him for he had no family.
Accually he did but he forgot who they be.
Johnny often liked to go out on the town.
He'd forget where he'd be going, so he'd just wander 'round.
I knew when he was back, for I would hear the smack
Of his head hitting the doorway, but one night it was a lack.

Johnny came home headless.
It was a great disgrace,
But where ever it's a'lying
There's a smile upon his face.
I should have seen it comin'.
He'd finally lost his mind,
But if his head don't turn up soon
then all his hats are mine.

Johnny came towards me, but suddenly he stopped,
As if trying to think of something but having no luck,
'Cause still he didn't notice that his head weren't there,
...

******* This Lyrics is NOT for Commercial use *******"
